iter	Passed	Remaining
0	0	835
1	1	741
2	2	702
3	2	665
4	3	653
5	3	635
6	4	621
7	4	617
8	5	607
9	6	599
10	6	602
11	7	604
12	7	602
13	8	601
14	9	598
15	9	592
16	10	586
17	10	581
18	11	577
19	11	576
20	12	575
21	12	576
22	13	576
23	14	575
24	14	573
25	15	572
26	15	571
27	16	573
28	17	574
29	17	574
30	18	572
31	18	571
32	19	572
33	20	571
34	20	570
35	21	569
36	21	568
37	22	570
38	23	574
39	24	576
40	24	579
41	25	582
42	26	585
43	26	586
44	27	589
45	28	589
46	29	592
47	29	593
48	30	595
49	31	595
50	32	596
51	32	596
52	33	598
53	34	599
54	34	599
55	35	600
56	36	600
57	37	601
58	37	602
59	38	604
60	39	606
61	40	606
62	40	607
63	41	607
64	42	607
65	42	607
66	43	606
67	44	607
68	45	607
69	45	607
70	46	609
71	47	611
72	48	610
73	48	610
74	49	611
75	50	612
76	51	612
77	51	611
78	52	611
79	53	612
80	54	614
81	54	614
82	55	610
83	56	611
84	56	611
85	57	611
86	58	610
87	58	609
88	59	609
89	60	608
90	60	607
91	61	607
92	62	606
93	62	606
94	63	607
95	64	607
96	65	607
97	66	608
98	66	608
99	67	607
100	68	610
101	69	611
102	70	612
103	71	615
104	72	616
105	73	616
106	74	618
107	74	619
108	75	619
109	76	618
110	78	624
111	78	625
112	79	625
113	80	623
114	80	620
115	81	618
116	81	616
117	82	614
118	82	612
119	83	611
120	83	609
121	84	607
122	84	605
123	85	603
124	85	601
125	86	599
126	86	597
127	87	595
128	87	594
129	88	591
130	88	590
131	89	588
132	89	586
133	90	585
134	91	583
135	91	582
136	92	580
137	92	578
138	93	576
139	93	575
140	94	573
141	94	570
142	94	569
143	95	567
144	95	565
145	96	564
146	97	562
147	97	560
148	97	559
149	98	558
150	99	557
151	99	555
152	100	554
153	100	553
154	101	551
155	101	550
156	102	549
157	102	547
158	103	546
159	103	545
160	104	543
161	104	542
162	105	540
163	105	539
164	106	538
165	107	537
166	107	536
167	108	535
168	108	534
169	109	533
170	109	532
171	110	533
172	111	532
173	111	530
174	112	529
175	113	529
176	113	527
177	114	526
178	114	525
179	115	524
180	115	523
181	116	522
182	116	521
183	117	519
184	117	518
185	118	517
186	118	516
187	119	515
188	120	515
189	120	513
190	121	512
191	121	511
192	122	510
193	122	509
194	123	508
195	123	507
196	124	506
197	124	505
198	125	504
199	125	503
200	126	503
201	127	501
202	127	500
203	128	499
204	128	498
205	129	498
206	129	496
207	130	496
208	130	494
209	131	494
210	131	492
211	132	491
212	132	490
213	133	489
214	133	489
215	134	488
216	135	487
217	135	486
218	136	485
219	136	484
220	137	483
221	137	482
222	138	481
223	138	481
224	139	480
225	139	479
226	140	478
227	140	477
228	141	476
229	142	475
230	142	474
231	143	473
232	143	473
233	144	472
234	144	471
